barcode,sku,titel,optie,woorden,afbeeldingen,adviesprijs,actieprijs,op_voorraad,bron_url
8720959402107,MT7004,Stress Release roomspray - 50 ml,,738,1,14.95,14.95,ja,https://www.mattisson.nl/stress-release-roomspray-50-ml
8720959402114,MT7005,Focus roomspray - 50 ml,,748,1,14.95,14.95,ja,https://www.mattisson.nl/focus-roomspray-50-ml
8720959402121,MT7006,Organic Body Oil - 100 ml,,845,1,21.95,21.95,ja,https://www.mattisson.nl/organic-body-oil-100-ml
8720959402381,MT4107,Biologische Psyllium Husk Vezels – 750 gram,,372,1,26.95,26.95,ja,https://www.mattisson.nl/biologische-psyllium-vezels-750-gram
8720959403227,MT1835,Probisson® Zwanger - 60 capsules,,660,1,19.95,14.96,ja,https://www.mattisson.nl/probissonr-zwanger-7-miljard-60-capsules
8720959403234,MT1836,Probisson® Biotica complex - 60 capsules,,605,1,24.95,18.71,ja,https://www.mattisson.nl/probissonr-biotica-complex-60-capsules
8720959400851,MT4170,Vegan MSM Poeder - Puur - 550 gram,,720,1,16.95,12.71,ja,https://www.mattisson.nl/vegan-msm-poeder-puur-550-gram
8720959403241,MT2498,5-HTP 100mg - 60 capsules,,364,1,19.95,14.96,ja,https://www.mattisson.nl/5-htp-100mg-60-capsules
8717677968459,MT4108,Biologische Psyllium Husk Vezels - 90 g,90 g,820,1,6.95,6.95,ja,https://www.mattisson.nl/biologische-psyllium-husk-vezels
8717677964505,MT4109,Biologische Psyllium Husk Vezels - 250 g,250 g,820,1,10.95,10.95,ja,https://www.mattisson.nl/biologische-psyllium-husk-vezels
8717677967810,MT2057,Biologische Lion's Mane 500 mg - 60 capsules,60 caps,779,1,21.95,16.46,ja,https://www.mattisson.nl/biologische-lion-s-mane-500-mg
8720959400653,MT2030,Biologische Lion's Mane 500 mg - 120 capsules,120 caps,779,1,36.95,27.71,ja,https://www.mattisson.nl/biologische-lion-s-mane-500-mg
8720959400660,MT2311,Multi Magnesium - 200mg complex - 180 tabletten,180 tabl,582,1,49.95,37.46,ja,https://www.mattisson.nl/multi-magnesium-200mg-complex-tabletten
8720791841706,MT2312,Multi Magnesium - 200mg complex - 90 tabletten,90 tabl,582,1,26.96,20.22,ja,https://www.mattisson.nl/multi-magnesium-200mg-complex-tabletten
8720959403340,MT1996,Vegan Curcuma C3 met BioPerine 500mg  - 60 capsules,,652,1,31.95,23.96,ja,https://www.mattisson.nl/vegan-curcuma-c3-met-bioperine-500mg-60-capsules
8720959403456,MT1299,Biologische Olijfolie - Extra Virgin - 500 ml,,776,1,11.95,11.95,ja,https://www.mattisson.nl/biologische-olijfolie-extra-virgin-500-ml
8720959402312,MT1466,Vegan Algenolie - EPA 150mg / DHA 100mg - 120 capsules,120 caps,560,1,39.95,29.96,ja,https://www.mattisson.nl/vegan-algenolie-epa-150mg-dha-100mg
8720959402305,MT1465,Vegan Algenolie - EPA 150mg / DHA 100mg - 60 capsules,60 caps,560,1,21.95,16.46,ja,https://www.mattisson.nl/vegan-algenolie-epa-150mg-dha-100mg
8717677965267,MT2336,Magnesium Bisglycinaat 833mg - 90 tabletten,90 tabl,685,1,19.95,14.96,ja,https://www.mattisson.nl/magnesium-bisglycinaat-tabletten-100-mg-elementair
8720959400677,MT2398,Magnesium Bisglycinaat 833mg - 180 tabletten,180 tabl,685,1,34.95,26.21,ja,https://www.mattisson.nl/magnesium-bisglycinaat-tabletten-100-mg-elementair
8720289191665,MT1921,Biologische Apple Cider Vinegar (appelazijn) - Puur - 1000 ml,1000 ml,619,1,8.95,8.95,ja,https://www.mattisson.nl/biologische-apple-cider-vinegar-appelazijn-puur
8720289191658,MT1920,Biologische Apple Cider Vinegar (appelazijn) - Puur - 500 ml,500 ml,619,1,5.95,5.95,ja,https://www.mattisson.nl/biologische-apple-cider-vinegar-appelazijn-puur
8720959403333,MT1404,Biologisch Gerstegras 400mg - 180 capsules,,213,1,11.95,8.96,nee,https://www.mattisson.nl/biologisch-gerstegras-400mg-180-capsules
8720959403562,MT1833,Probisson® Skin - 60 capsules,,675,1,22.95,17.21,ja,https://www.mattisson.nl/probissonr-skin-60-capsules
8720959403555,MT1832,Probisson® Femme - 60 capsules,,653,1,22.95,17.21,ja,https://www.mattisson.nl/probissonr-femme-60-capsules
8720959403548,MT1831,Probisson® Mind - 60 capsules,,713,1,22.95,17.21,ja,https://www.mattisson.nl/probissonr-mind-60-capsules
8720959403616,MT2821,Fava bonen proteïne - Tuinboon eiwitisolaat - 400 gram,,799,1,17.95,13.46,ja,https://www.mattisson.nl/fava-bonen-proteine-tuinboon-eiwitisolaat-400-gram
8720959403579,MT2497,Bloedsuiker support – 60 capsules,,671,1,34.95,26.21,ja,https://www.mattisson.nl/bloedsuiker-support-60-capsules
8720959403661,MT2622,Biologische Zwarte Maca - 300 gram,,965,1,13.95,13.95,ja,https://www.mattisson.nl/biologische-zwarte-maca-300-gram
8720959403678,MT2623,Biologische Rode Maca - 300 gram,,1037,1,13.95,13.95,ja,https://www.mattisson.nl/biologische-rode-maca-300-gram
8720959403685,MT2496,Q10 Ubiquinol 100mg - 60 Capsules,,830,1,39.95,29.96,ja,https://www.mattisson.nl/q10-ubiquinol-100mg-60-capsules
8720959403647,MT1409,Biologisch AlkaGreens poeder - Mushroom - 300 gram,,405,1,34.95,26.21,ja,https://www.mattisson.nl/organic-alkagreens-mushroom-300-gram
8720959403937,MT4185,Elektrolyten Poeder Strawberry Lime - 300 gram,,1019,1,26.95,20.21,ja,https://www.mattisson.nl/elektrolyten-poeder-strawberry-lime-300-gram
8720959403944,MT4186,Elektrolyten Poeder Lemon Mint - 300 gram,,1121,1,26.95,20.21,ja,https://www.mattisson.nl/elektrolyten-poeder-lemon-mint-300-gram
8720959403890,MT9117,Biologische Ceylon Kaneel - 35 gram,,224,1,4.95,4.95,ja,https://www.mattisson.nl/biologische-ceylon-kaneel-35-gram
8717677967858,MT1575,Biologische Edelgistvlokken - 60 g ,60 g,807,1,5.95,5.95,nee,https://www.mattisson.nl/biologische-edelgistvlokken
8717677964512,MT1581,Biologische Edelgistvlokken - 200 g,200 g,807,1,13.95,13.95,ja,https://www.mattisson.nl/biologische-edelgistvlokken
8720959402442,MT2838,Biologische Wei Proteïne Poeder Naturel 80% - 1000 gram,1000 g,516,1,69.95,52.46,ja,https://www.mattisson.nl/biologische-wei-proteine-poeder-naturel
8717677964307,MT2841,Biologische Wei Proteïne poeder 80% - Naturel - 450 g,450 g,516,1,34.95,26.21,ja,https://www.mattisson.nl/biologische-wei-proteine-poeder-naturel
8720959402459,MT2839,Biologische Wei Proteïne Poeder Vanille 75% - 1000 gram,1000 g,532,1,69.95,52.46,ja,https://www.mattisson.nl/biologische-wei-proteine-poeder-vanille-75
8717677964314,MT2842,Biologische Wei Proteïne poeder 75% - Vanille - 450 g,450 g,532,1,39.95,29.96,ja,https://www.mattisson.nl/biologische-wei-proteine-poeder-vanille-75
